MATCHUP,GAME_ID,SEASON,GAME_DATE,HOME_TEAM_NICKNAME,HOME_TEAM_ID,AWAY_TEAM_NICKNAME,AWAY_TEAM_ID
03/19/2018 Bucks at Cavaliers,21701050,2017-18,2018-03-19, Cavaliers,1610612739, Bucks,1610612749
03/17/2018 Cavaliers at Bulls,21701039,2017-18,2018-03-17, Bulls,1610612741, Cavaliers,1610612739
03/15/2018 Cavaliers at Trail Blazers,21701028,2017-18,2018-03-15, Trail Blazers,1610612757, Cavaliers,1610612739
03/13/2018 Cavaliers at Suns,21701014,2017-18,2018-03-13, Suns,1610612756, Cavaliers,1610612739
03/11/2018 Cavaliers at Lakers,21701000,2017-18,2018-03-11, Lakers,1610612747, Cavaliers,1610612739
03/09/2018 Cavaliers at Clippers,21700986,2017-18,2018-03-09, Clippers,1610612746, Cavaliers,1610612739
03/07/2018 Cavaliers at Nuggets,21700970,2017-18,2018-03-07, Nuggets,1610612743, Cavaliers,1610612739
03/05/2018 Pistons at Cavaliers,21700950,2017-18,2018-03-05, Cavaliers,1610612739, Pistons,1610612765
03/03/2018 Nuggets at Cavaliers,21700937,2017-18,2018-03-03, Cavaliers,1610612739, Nuggets,1610612743
03/01/2018 76ers at Cavaliers,21700923,2017-18,2018-03-01, Cavaliers,1610612739, 76ers,1610612755
02/27/2018 Nets at Cavaliers,21700908,2017-18,2018-02-27, Cavaliers,1610612739, Nets,1610612751
02/25/2018 Spurs at Cavaliers,21700894,2017-18,2018-02-25, Cavaliers,1610612739, Spurs,1610612759
02/23/2018 Cavaliers at Grizzlies,21700878,2017-18,2018-02-23, Grizzlies,1610612763, Cavaliers,1610612739
02/22/2018 Wizards at Cavaliers,21700869,2017-18,2018-02-22, Cavaliers,1610612739, Wizards,1610612764
02/13/2018 Cavaliers at Thunder,21700850,2017-18,2018-02-13, Thunder,1610612760, Cavaliers,1610612739
02/07/2018 Timberwolves at Cavaliers,21700807,2017-18,2018-02-07, Cavaliers,1610612739, Timberwolves,1610612750
02/06/2018 Cavaliers at Magic,21700797,2017-18,2018-02-06, Magic,1610612753, Cavaliers,1610612739
02/03/2018 Rockets at Cavaliers,21700779,2017-18,2018-02-03, Cavaliers,1610612739, Rockets,1610612745
01/31/2018 Heat at Cavaliers,21700757,2017-18,2018-01-31, Cavaliers,1610612739, Heat,1610612748
